ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,ic,inst,ul5_6_1,ul7_9_1,ul10_14_1,ul1_2_1,ul20_25_1,ul15_20_1,ul10_11_1,ul24_26_1,ul24_28_1,ul6_7_1,ul42_47_1,ul40_45_1,ul5_15_1,ul7_21_1,ul10_22_1,ul1_10_1,ul20_40_1,ul15_75_1,ul10_20_1,ul24_38_1,ul24_36_1,ul6_15_1,ul42_62_1,ul40_100_1,sorb1,uc,ucIntend,ucPa,ucRanking_1,ucRanking_2,ucRanking_3,ucRanking_4,ucRanking_5,carMileage,carPred1,carPred2,carPred3,carPred4,carPred5,carPredT1,carPredT2,carPredT3,carPredT4,carPredT5,chry1,chry2,chry3,chry4,chry5,itcSorbet,itcAttn1,itcAttn2,itcAttn3,itcAttn4,ITC Sorbet,itc5_6,itc7_9,itc10_14,itc1_2,itc20_25,itc15_20,itc10_11,itc24_26,itc24_28,itc6_7,itc42_47,itc40_45,itc5_15,itc7_21,itc10_22,itc1_10,itc20_40,itc15_75,itc10_20,itc24_38,itc24_36,itc6_15,itc42_62,itc40_100,debr,decmak_1,decmak_2,conf,whatConf,READER,age,gender,education,race_1,race_2,race_3,race_4,race_5,race_6,race_7,comments,LocationLatitude,LocationLongitude,LocationAccuracy
R_XtbnqGRRIoslEFH,Default Response Set,Anonymous,,,128.6.36.131,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,21,8,24,3,35,53,14,53,51,11,58,54,,,,,,,,,,,,,1,2,1,Buy exactly the model I tell you to buy and do not sway your decision at all.,3,4,5,1,2,1,,,,,400000,,,,500000,,,,,200000,,1,1,2,2,4,1,1,2,2,1,1,2,1,2,2,1,1,1,,,,,,,,,,,,,1,0,100,2,,I read the entire question,2,1,2,,,,1,,,,,40.55160522,-74.46369934,-1
R_2SH0udVEWWUeGi4,Default Response Set,Anonymous,,,128.6.37.247,0,12/10/2015 18:57,12/10/2015 19:05,1,1,1,0,3,1,0,51,6,0,6,5,0,8,5,,,,,,,,,,,,,1,2,1,"I would tell them to make sure the car is affordable, reliable, and SAFE. I would tell them to look for low mileage and take the car to a mechanic if they can to get it checked.",1,5,4,2,3,1,,,"200,000",,,,,,200000,,,,200000,,,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,0,0,1,"I found this entire survey to be extremely confusing. I don't know anything about car mileage and don't know why a survey would expect that I do. I also didn't understand question that asked me which way I used to my decisions on ""x in x days and y in y days"". I just simply went with my gut without calculations. ",I read the entire question.,3,2,3,,,1,,,,,,40.55160522,-74.46369934,-1
R_3dFyfTGlmY11YOL,Default Response Set,Anonymous,,,128.6.36.75,0,12/10/2015 18:59,12/10/2015 19:05,1,1,1,23,12,9,24,6,6,28,18,11,38,6,8,,,,,,,,,,,,,1,1,1,,1,5,4,2,3,1,,,,200000,,,,300000,,,200000,,,,,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,1,1,2,,I read the entire question,3,2,4,1,,,,,,,,40.55160522,-74.46369934,-1
R_1BYu6obsMXG6xWz,Default Response Set,Anonymous,,,128.6.37.182,0,12/10/2015 18:57,12/10/2015 19:05,1,1,1,1,4,20,1,29,41,3,34,37,1,53,62,,,,,,,,,,,,,1,2,2,"Make sure the mileage is higher than 25 miles per gallon.  / It has to be black. / It cannot be a sedan. / Large and spacious.  / If it is a hybrid that is fine. / If it is an electrical car that is best, / Cannot be a Kia or a Ford.",1,5,4,3,2,1,,,,,"350,000","500,000",,,,,,,,,"360,000",1,1,1,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,4,38,2,,I read the entire question,3,2,2,1,,,,,,,No,40.55160522,-74.46369934,-1
R_bfMuLZAuhIy5Ggh,Default Response Set,Anonymous,,,128.6.36.99,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,77,79,65,19,75,65,81,66,56,82,58,56,,,,,,,,,,,,,1,2,1,"Surprise me. It better be affordable, and fuel efficient though.",4,5,3,2,1,1,"85,000",,,,,"90,000",,,,,"65,000",,,,,1,1,2,2,4,1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,1,27,81,1,Last part,I read the entire question mkay,2,1,4,,,,1,,1,,,40.55160522,-74.46369934,-1
R_3ly0mxyod8HHzfd,Default Response Set,Anonymous,,,128.6.37.236,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,1,2,4,1,5,5,1,2,4,1,5,5,,,,,,,,,,,,,1,2,1,Show me the carfax.,1,5,3,2,4,1,,,,,"280,000",,,,,"300,000",,,,"225,000",,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,65,35,2,,I read the entire question,2,1,3,1,,1,,,,,,40.55160522,-74.46369934,-1
R_2B4ZVUTjVdkD0BF,Default Response Set,Anonymous,,,128.6.36.92,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,1,2,4,1,5,5,1,2,4,1,5,5,,,,,,,,,,,,,1,2,2,Don't mess up,2,4,5,3,1,1,,,156000,,,55000,,,,,,,,195900,,1,1,2,2,4,1,1,2,2,1,2,2,1,2,2,1,2,2,,,,,,,,,,,,,1,50,50,1,Took me a little while to understand the slide bar setup and what its function was.,I read the entire question,2,,2,,,,,,,1,None whatsoever,40.55160522,-74.46369934,-1
R_1ifZhh3huBLIGvB,Default Response Set,Anonymous,,,128.6.36.169,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,,,,,,,,,,,,,34,33,32,10,50,21,40,40,83,30,69,40,1,1,1,"I would never ask a friend to buy a car for me since that is a big purchase and it would not be a good decision to have someone else make it for you. However, if I really had to for some strange reason, I would determine the exact car I want by giving him the VIN number and the price that I would pay. ",5,2,1,3,4,1,,,,,250000,,190000,,,,,150000,,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,100,100,1,"Confusing wording, the unlikeness part was very difficult to understand. ",I read the entire question,2,1,2,1,,,,,,,,40.55160522,-74.46369934,-1
R_1ptgto16EFaPfZQ,Default Response Set,Anonymous,,,128.6.37.46,0,12/10/2015 18:58,12/10/2015 19:05,1,1,1,,,,,,,,,,,,,86,100,59,88,55,100,65,54,46,46,63,94,1,1,2,Get something sporty and fast.,,,,,,1,,,"160,000",,,,,"180,000",,,,,,"202,000",,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,2,1,1,62,77,1,,20,2,1,4,,,1,,,,,,40.55160522,-74.46369934,-1
R_2pRHL4LK3qHGo4w,Default Response Set,Anonymous,,,128.6.37.120,0,12/10/2015 18:57,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,100,100,100,99,100,100,100,100,100,100,100,100,1,1,2,"I would tell them all about the car in depth with details without the car being there, if the car is in bad shape.  Than proceed to focus on the parts of the car that are more appealing than others.  ",2,4,5,1,3,1,,,155885,,,,,,"200,000",,"100,000",,,,,1,1,2,2,4,1,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,1,6,99,2,,I read the entire question ,3,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_247MBA8A895KGVO,Default Response Set,Anonymous,,,128.6.36.162,0,12/10/2015 18:56,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,50,68,57,41,50,77,50,66,67,42,49,89,1,1,1,"Hey, /  / I am looking to buy a car for myself that is Used. However, right now I do have the funds to support the buy. I was wondering is there anyway that you could help me out and buy the car for me. I will give you 10 percent interst if you buy it for me and will pay you back monthly untill the entire car payment is paid off.  / It would really help me out if you could.  /  / Thanks ",2,5,4,1,3,1,"120,000",,,,,,,,,"230,000",,,,"215,000",,1,1,2,2,4,1,,,,,,,,,,,,,1,1,2,1,1,1,1,1,2,1,2,1,1,19,66,2,,I read the entire question,3,1,2,1,,,,,,,,40.55160522,-74.46369934,-1
R_1KxnSeHcDmNw3rc,Default Response Set,Anonymous,,,128.6.37.249,0,12/10/2015 18:59,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,90,14,88,9,41,40,90,86,88,90,70,60,1,1,1,Buy something with a warranty. Also a model I would find attractive. ,3,4,1,2,5,1,"150,000",,,,,,,"200,000",,,,"150,000",,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,10,90,2,,i read the entire question,3,1,3,1,,,,,,,,40.55160522,-74.46369934,-1
R_3QRX9kTh2lc2iTh,Default Response Set,Anonymous,,,128.6.37.110,0,12/10/2015 18:59,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,,2,3,1,,,1,4,1,3,3,2,1,1,1,i would tell them the blue book value and the max price i would pay.  i waould tell him/her where to start negotiations and only buy if it remains below or equal to my max,5,2,1,3,4,1,80000,,,,,,150000,,,,,,160000,,,1,1,1,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,100,2,,I read the entire ...,3,1,3,,,,,,,1,i dont like surveys,40.55160522,-74.46369934,-1
R_1HnwZIvd6UIUIfT,Default Response Set,Anonymous,,,128.6.37.149,0,12/10/2015 18:59,12/10/2015 19:06,1,1,1,,,,,,,,,,,,,63,37,28,17,59,76,70,68,60,79,8,39,1,2,2,,1,4,5,2,3,1,,,,"215,000",,,,"160,000",,,"100,000",,,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,83,23,1,,5 min,3,1,5,1,,,,,,,,40.55160522,-74.46369934,-1
R_3sn2dadvWJzZLot,Default Response Set,Anonymous,,,128.6.37.200,0,12/10/2015 18:59,12/10/2015 19:06,1,1,1,50,57,92,55,59,74,57,73,81,25,96,100,,,,,,,,,,,,,1,2,2,"If any problems of the cars that happens in the future, it is your responsibility to fix it. So pick a nice car ",1,5,4,2,3,1,,190000,,,,,80000,,,,,,,,500000,1,1,2,2,4,1,1,1,1,1,,1,1,2,1,1,2,1,,,,,,,,,,,,,1,45,74,2,,,2,2,4,,,,1,,,,No,40.55160522,-74.46369934,-1
R_2wHpHrRSAJM8mWm,Default Response Set,Anonymous,,,128.6.36.116,0,12/10/2015 19:01,12/10/2015 19:06,1,1,1,66,68,64,60,69,67,79,65,68,67,71,68,,,,,,,,,,,,,1,2,2,get me a car that looks like i can drive it for 5 years. good luck knock your socks off dude ..,2,4,5,1,3,1,,,,,250000,,250000,,,,,,,,250000,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,1,78,73,2,,i read the entire question my dude,3,1,3,1,,,,,,,nope. glad im done,40.55160522,-74.46369934,-1
R_2cvgtO4QGz5W2c1,Default Response Set,Anonymous,,,128.6.37.104,0,12/10/2015 19:00,12/10/2015 19:07,1,1,1,3,20,53,1,72,60,22,69,78,,,74,,,,,,,,,,,,,1,2,1,Buy the used car for me please,4,3,2,1,5,1,,,,"225,000",,,,,,"250,000",,"100,000",,,,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,24,27,2,,5 minutes,2,1,2,,,,,,,1,,40.55160522,-74.46369934,-1
R_3JyqHoRfYKiE74U,Default Response Set,Anonymous,,,128.6.36.244,0,12/10/2015 18:58,12/10/2015 19:07,1,1,1,,,,,,,,,,,,,33,33,56,10,50,30,50,,,36,,,1,2,1,"check condition of car, compare prices , demand fro price to go down",1,5,4,3,2,1,,,,,"280,000",,,,,"250,000",,"120,000",,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,78,14,2,,i read the entire question,2,1,3,,,1,,,,,,40.55160522,-74.46369934,-1
R_ysFNcaFA2DaV6Ip,Default Response Set,Anonymous,,,128.6.36.255,0,12/10/2015 18:59,12/10/2015 19:07,1,1,1,6,10,11,2,19,17,11,18,22,8,30,28,,,,,,,,,,,,,1,2,1,"Get me an white jeep wrangler that has less than 30,000 miles on it and is in good condition. ",4,5,1,2,3,1,,,160000,,,,,160000,,,,160000,,,,1,1,2,2,4,1,1,2,2,2,2,2,2,2,2,1,2,1,,,,,,,,,,,,,1,76,64,2,,I read the entire question,2,2,3,1,,,,,,,no,40.55160522,-74.46369934,-1
R_2Y4y8dxfDhKEgYq,Default Response Set,Anonymous,,,128.6.37.173,0,12/10/2015 19:00,12/10/2015 19:07,1,1,1,,,,,,,,,,,,,64,41,62,62,48,8,6,41,,,,,1,1,1,Hello friend. As you know i really have been looking for a car. A lot of cars are expensive so i would get a used one. Can you help me out here and buy the car for me. ill pay you back. Ill give you my word. ,5,1,2,3,4,1,,,,"200,000",,"200,000",,,,,"100,000",,,,,1,1,2,2,4,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,58,70,1,scale we used ,I read the entire question ,2,1,3,,,1,,,,,,40.55160522,-74.46369934,-1
R_3DoTJICmNV3iBDm,Default Response Set,Anonymous,,,128.6.37.112,0,12/10/2015 19:02,12/10/2015 19:07,1,1,1,28,54,69,61,30,25,19,22,15,27,20,22,,,,,,,,,,,,,1,2,1,"Good condition, not too big",1,5,4,2,3,1,,,350000,,,,,,350000,,,,,,400000,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,11,10,2,,I read the entire question.,2,2,2,,1,,,,,1,,40.55160522,-74.46369934,-1
R_3L0V9Umu6lfhgIU,Default Response Set,Anonymous,,,68.192.121.130,0,12/10/2015 19:04,12/10/2015 19:07,1,1,1,,,,,,,,,,,,,71,97,98,89,41,79,74,49,78,73,63,82,1,2,2,I don't want to use any used car,,,,,,1,,,,200000,,,,200000,,,,,,200000,,1,1,2,2,4,1,,,,,,,,,,,,,1,2,2,1,1,1,2,1,2,1,1,1,1,46,46,1,so many things made me feel confused. but ,70,3,1,2,1,,,1,,,,,40.55160522,-74.46369934,-1
R_2tKljQye9SoBf9K,Default Response Set,Anonymous,,,128.6.37.208,0,12/10/2015 18:57,12/10/2015 19:07,1,1,1,,,,,,,,,,,,,25,39,28,27,66,92,17,74,52,42,69,100,1,2,2,"I would tell them to consider the worth of the make/model, the mileage, the design, the safety, the price in comparison to other models/makes of used cars, as well as the price in comparison to other dealerships.",4,5,2,1,3,1,,,,"200,000",,,"80,000",,,,,,,"300,000",,1,1,2,2,4,1,,,,,,,,,,,,,1,2,2,1,2,1,1,1,2,1,1,1,1,28,86,1,I found the mileage question confusing because I did not know what value to enter. I thought the question was asking lifespan in a certain number of years.,I read the entire question,2,2,3,1,,,1,,,,,40.55160522,-74.46369934,-1
