ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,prize1,prize2,prize3,prize4,prize5,prize6,prize7,prize8,prize9,prize10,prize11,prize12,ic,Q3,Q5,Q7,Q9,Q11,Q13,Q15,Q17,Q35,Q37,Q40,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q42,nv_nz_61_15,nv_nz_61_20,nv_nz_61_25,nv_nz_61_30,nv_nz_61_35,nv_nz_61_45,nv_nz_61_50,nv_nz_61_55,nv_nz_61_60,nv_nz_61sp,nv_nz_84_20,nv_nz_84_30,nv_nz_84_40,nv_nz_84_50,nv_nz_84_60,nv_nz_84_65,nv_nz_84_70,nv_nz_84_75,nv_nz_84_80,nv_nz_84sp,nv_nz_107_35,nv_nz_107_45,nv_nz_107_60,nv_nz_107_75,nv_nz_107_85,nv_nz_107_90,nv_nz_107_95,nv_nz_107_100,nv_nz_107_105,nv_nz_107s,nv_z_61_15,nv_z_61_20,nv_z_61_25,nv_z_61_30,nv_z_61_35,nv_z_61_45,nv_z_61_50,nv_z_61_55,nv_z_61_60,nv_z_61s,nv_z_84_20,nv_z_84_30,nv_z_84_40,nv_z_84_50,nv_z_84_60,nv_z_84_65,nv_z_84_70,nv_z_84_75,nv_z_84_80,nv_z_84,nv_z_107_35,nv_z_107_45,nv_z_107_60,nv_z_107_75,nv_z_107_85,nv_z_107_90,nv_z_107_95,nv_z_107_100,nv_z_107_105,nv_z_107s,v_nz_61_15,v_nz_61_20,v_nz_61_25,v_nz_61_30,v_nz_61_35,v_nz_61_45,v_nz_61_50,v_nz_61_55,v_nz_61_60,v_nz_61s,v_nz_84_20,v_nz_84_30,v_nz_84_40,v_nz_84_50,v_nz_84_60,v_nz_84_65,v_nz_84_70,v_nz_84_75,v_nz_84_80,v_nz_84s,v_nz_107_35,v_nz_107_45,v_nz_107_60,v_nz_107_75,v_nz_107_85,v_nz_107_90,v_nz_107_95,v_nz_107_100,v_nz_107_105,v_nz_107,v_z_61_15,v_z_61_20,v_z_61_25,v_z_61_30,v_z_61_35,v_z_61_45,v_z_61_50,v_z_61_55,v_z_61_60,v_z_61s,v_z_84_20,v_z_84_30,v_z_84_40,v_z_84_50,v_z_84_60,v_z_84_65,v_z_84_70,v_z_84_75,v_z_84_80,v_z_84s,v_z_107_35,v_z_107_45,v_z_107_60,v_z_107_75,v_z_107_85,v_z_107_90,v_z_107_95,v_z_107_100,v_z_107_105,v_z_107,Q55,rs_1_1,rs_2_1,rs_3_1,rb_1_1,rb_2_1,rb_3_1,sorbet,decide,conf,what_conf,reader,age,gender,edu,race_1,race_2,race_3,race_4,race_5,race_6,race_7,comments,thanks,LocationLatitude,LocationLongitude,LocationAccuracy
R_3NxsRg7Jm9d617d,Default Response Set,Anonymous,,,128.6.37.153,0,10/26/2015 12:14,10/26/2015 12:22,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,,0 dollars in 11 days,107 dollars in 28 days,56 dollars in 8 days,87 dollars in 11 days,112 dollars in 28 days,0 dollars in 8 days,84 dollars in 11 days,112 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,15,16,13,,,,1,High risk high reward,1,Everything ,Reader,3,1,3,,,1,,,,,,1,40.55160522,-74.46369934,-1
R_yPTyhUkEqj4JJaV,Default Response Set,Anonymous,,,128.6.37.173,0,10/26/2015 12:14,10/26/2015 12:22,1,61 dollars in 8 days,,107 dollars in 28 days,61 dollars in 8 days,0 dollars in 11 days,107 dollars in 28 days,64 dollars in 8 days,84 dollars in 11 days,109 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,112 dollars in 28 days,,1,1,2,,1,2,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,1,2,1,2,2,1,,,,,,,,,,1,2,1,1,1,1,2,2,2,2,1,,,,,,,,,,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,58,32,86,,,,1,Used math and simply reasoning ,2,,15,3,1,4,1,,,,,,,,1,40.55160522,-74.46369934,-1
R_1Q4uIC2MJD2F1XV,Default Response Set,Anonymous,,,128.6.37.209,0,10/26/2015 12:14,10/26/2015 12:22,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,0 dollars in 28 days,61 dollars in 8 days,78 dollars in 11 days,112 dollars in 28 days,65 dollars in 8 days,89 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,49,83,22,1,I usually take money guaranteed no matter what. ,2,,READER,2,1,3,,,,1,,,,No.,1,40.55160522,-74.46369934,-1
R_3QPqHmG6GC1NYkP,Default Response Set,Anonymous,,,128.6.37.195,0,10/26/2015 12:16,10/26/2015 12:22,1,,,,,,,,,,,,,,1,1,2,,1,2,,1,1,1,1,2,2,1,1,2,,1,,,1,,,,,,,,1,1,1,,1,,,,,,,,1,,,,1,,,,,,1,1,2,1,1,1,1,2,2,2,1,,,1,,,,,,,1,,,,1,,,,,,1,1,1,1,1,,,,,,1,1,2,1,2,1,1,2,2,2,1,,,,,1,,,,,1,,,,2,1,,,,,1,,,1,,,,,,,1,,1,1,1,,,,,,1,1,,,,76,58,12,1,,1,,,3,2,4,,,,1,,,,,1,40.55160522,-74.46369934,-1
R_cNJUVZMHuOkLH0t,Default Response Set,Anonymous,,,128.6.37.173,0,10/26/2015 12:13,10/26/2015 12:22,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,0 dollars in 28 days,64 dollars in 8 days,84 dollars in 11 days,105 dollars in 28 days,0 dollars in 8 days,82 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,,37,48,,,,1,,2,,,3,1,2,,,1,,,,,,1,40.55160522,-74.46369934,-1
R_28G65i45fnqiz6S,Default Response Set,Anonymous,,,128.6.36.230,0,10/26/2015 12:14,10/26/2015 12:23,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,61 dollars in 8 days,87 dollars in 11 days,102 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,105 dollars in 28 days,,1,1,2,,1,2,,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,2,2,1,,,,,,,,,1,1,,,,,,,,,1,1,1,91,95,97,,,,1,Based on the difference in money and amount of days you would have to wait,2,,READER,3,1,3,1,,,,,,,,1,40.48350525,-74.44319916,-1
R_22VtYgluIAWPgLO,Default Response Set,Anonymous,,,128.6.36.123,0,10/26/2015 12:14,10/26/2015 12:23,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,61 dollars in 8 days,0 dollars in 11 days,0 dollars in 28 days,64 dollars in 8 days,84 dollars in 11 days,105 dollars in 28 days,0 dollars in 8 days,82 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,45,25,,1,If there was a chance of always winning something on the wheel then that was the option I choose,2,,READER,2,2,3,1,,,,,,,,1,40.48350525,-74.44319916,-1
R_1H1zrGXqZVSUpLM,Default Response Set,Anonymous,,,128.6.37.16,0,10/26/2015 12:14,10/26/2015 12:23,1,61 dollars in 8 days,,107 dollars in 28 days,0 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,64 dollars in 8 days,78 dollars in 11 days,106 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,105 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,64,64,65,1,Chances of winning,2,,READER,2,1,3,1,,,1,,,,,1,40.55160522,-74.46369934,-1
R_2owYlqpnoUiLhwB,Default Response Set,Anonymous,,,128.6.37.123,0,10/26/2015 12:15,10/26/2015 12:23,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,61 dollars in 8 days,84 dollars in 11 days,0 dollars in 28 days,64 dollars in 8 days,82 dollars in 11 days,105 dollars in 28 days,60 dollars in 8 days,0 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,,,,58,52,70,1,,2,,4,3,1,3,1,,,,,,,,1,40.55160522,-74.46369934,-1
R_2cBMFNeiNPlxlh4,Default Response Set,Anonymous,,,128.6.37.207,0,10/26/2015 12:14,10/26/2015 12:23,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,84 dollars in 11 days,0 dollars in 28 days,65 dollars in 8 days,83 dollars in 11 days,110 dollars in 28 days,0 dollars in 8 days,82 dollars in 11 days,112 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,,,,,,2,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,1,2,,,,,,,,1,1,1,,,,100,100,100,1,I wanted to make the most money possible,1,How many times I had to spin the wheel,READER,3,1,3,1,,,,,,,,1,40.55160522,-74.46369934,-1
R_1HkpjjUgtODQx4o,Default Response Set,Anonymous,,,128.6.37.215,0,10/26/2015 12:14,10/26/2015 12:23,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,107 dollars in 28 days,,83 dollars in 11 days,106 dollars in 28 days,61 dollars in 8 days,82 dollars in 11 days,0 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,51,52,,1,?,1,Page not loading ,Reader,2,2,4,1,,,,,,,No,1,40.55160522,-74.46369934,-1
R_qPAPqAkX6jnVXWh,Default Response Set,Anonymous,,,128.6.36.134,0,10/26/2015 12:14,10/26/2015 12:23,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,61 dollars in 8 days,0 dollars in 11 days,0 dollars in 28 days,64 dollars in 8 days,84 dollars in 11 days,112 dollars in 28 days,60 dollars in 8 days,0 dollars in 11 days,105 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,,1,,,,,,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,45,46,,,,1,Whichever gave me more money in the end,1,When it changed from cents to dollars,READER,2,2,4,1,,,,,,,,1,40.48350525,-74.44319916,-1
R_2fkSVtS4mxIOAhu,Default Response Set,Anonymous,,,128.6.37.48,0,10/26/2015 12:14,10/26/2015 12:23,1,61 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,0 dollars in 8 days,84 dollars in 11 days,107 dollars in 28 days,64 dollars in 8 days,86 dollars in 11 days,106 dollars in 28 days,0 dollars in 8 days,0 dollars in 11 days,112 dollars in 28 days,1,1,1,2,,1,2,,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,1,1,37,47,34,,,,1,I made it with logic,1,The question wording were a bit out of the ordinary ,took about 2 minutes per question ,2,1,3,,,,1,,,,,1,40.55160522,-74.46369934,-1
